Product Name,Product URL,Product Price,Product Rating,Product Rating Count,ASIN,Manufacturer,Description
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTk3MTk3ODk1Mjg5NjU1OjE2OTc2NDEwNTE6c3BfYXRmOjIwMDM4MzA5Nzg4Mjk4OjowOjo&url=%2FNumber-Backpack-Compartment-Charging-Organizer%2Fdp%2FB09VTDMRY7%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBags%26qid%3D1697641051%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,749,4.1 out of 5 stars,"6,672",B09VTDMRY7,FUR JADEN,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
"Victorinox, Crosslight Boarding Bag, 37 litres, Black, With 15.6 Inch Laptop Pocket, 612423|Backpack",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTk3MTk3ODk1Mjg5NjU1OjE2OTc2NDEwNTE6c3BfYXRmOjMwMDA2OTIyNjI5NTczMjo6MDo6&url=%2FVictorinox-Crosslight-Boarding-612423-Backpack%2Fdp%2FB092ZNQ6P3%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBags%26qid%3D1697641051%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"21,480",4.7 out of 5 stars,4,B092ZNQ6P3,Victorinox AG,"The Crosslight boarding bag is perfect for the traveler who prefers lightweight carrying. Along with ample storage space, it also has an expandable space that provides extra room for the souvenirs and gifts you pick for your loved ones. Made from 100% recycled materials with over 30 pet bottles, this softside carry-on is what you need to travel responsibly. Meet the Crosslight collection where Crosslight refers to our iconic cross and shield logo. It is a collection of versatility and practicality for those who prefer lightweight carrying. This collection is a new generation of softside luggage for effortless and functional traveling. By giving new life to recycled PET bottles, the collection has done it right so that you live light, pack light, and carry light."
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?keywords=Bags&qid=1697641051&sr=8-3,499,4.3 out of 5 stars,"13,238",Not found,Not found,Not found
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_4?keywords=Bags&qid=1697641051&sr=8-4,799,4.3 out of 5 stars,"6,886",Fur Jaden,20 December 2018,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_5?keywords=Bags&qid=1697641051&sr=8-5,"1,049",4.0 out of 5 stars,"56,357",Not found,Not found,Not found
"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)",https://aax-eu.amazon.in/x/c/RDesslI99zN0Xnfdt-bKdh0AAAGLQ0q0VAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICD58UAD/https://www.amazon.in/JD-Expandable-Waterproof-Sakura-Pink/dp/B0BRNP6M1D/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e%3Aamzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e&cv_ct_cx=Bags&keywords=Bags&pd_rd_i=B0BRNP6M1D&pd_rd_r=677e448f-12a5-422b-b454-dfef0ec79174&pd_rd_w=YnJVA&pd_rd_wg=io7o2&pf_rd_p=10447c6b-3f84-4df3-b999-01a8bbbf010e&pf_rd_r=E5W5CDK1WEWKDE2W6RFY&qid=1697641051&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351,731,3.9 out of 5 stars,428,B0BRNP6M1D,M/s JD Fresh,"JD Fresh Travel Duffle Bag, Expandable Folding Travel Bag for Women, Lightweight Waterproof Carry Overnight Luggage Bag for Travel (Maroon,40 x 23 x 45cm)"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_6?keywords=Bags&qid=1697641051&sr=8-6,689,4.1 out of 5 stars,"1,956",B098QFF5TJ,Wesley,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?keywords=Bags&qid=1697641051&sr=8-7,529,3.7 out of 5 stars,"2,773",LEGEND-1,B09QJ7ZF2Y,Not found
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_8?keywords=Bags&qid=1697641051&sr=8-8,449,4.4 out of 5 stars,"5,280",Not found,Not found,Not found
Ezee Black Medium Garbage Bags 90 Pcs | 19 X 21 Inch | 30 Pcs x Pack of 3 | Dustbin Trash Bag,https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q/ref=sr_1_9?keywords=Bags&qid=1697641051&sr=8-9,155,4.2 out of 5 stars,"28,702",Not found,Not found,Not found
