Product Name,Product URL,Product Price,Product Rating,Product Rating Count
Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDY1MzExNzM4ODIwNjU0OjE2OTc1NjQ1MjM6c3BfYXRmOjMwMDA2ODY4NTg3MDczMjo6MDo6&url=%2FGear-Compact-Business-Backpack-BUSCOMPACT001%2Fdp%2FB08D73QVTD%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBags%26qid%3D1697564522%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,798,4.3 out of 5 stars,631
"HARISSONS Sirius 45 Ltrs Executive Laptop Backpack for Men & Women, Compatible Upto 15.6 Inch | Built-in Waterproof Raincover, USB & Headphone Charging Connector & Free Laptop Charger Pouch",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDY1MzExNzM4ODIwNjU0OjE2OTc1NjQ1MjM6c3BfYXRmOjIwMDI0MTU4NzYzNDA4OjowOjo&url=%2FHARISSONS-Executive-Compatible-Waterproof-Raincover%2Fdp%2FB07MD1G8RZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBags%26qid%3D1697564522%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"2,966",4.3 out of 5 stars,"2,252"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?keywords=Bags&qid=1697564522&sr=8-3,499,4.3 out of 5 stars,"13,221"
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_4?keywords=Bags&qid=1697564522&sr=8-4,799,4.3 out of 5 stars,"6,874"
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_5?keywords=Bags&qid=1697564522&sr=8-5,"1,099",4.0 out of 5 stars,"56,348"
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_6?keywords=Bags&qid=1697564522&sr=8-6,449,4.4 out of 5 stars,"5,256"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_7?keywords=Bags&qid=1697564522&sr=8-7,689,4.1 out of 5 stars,"1,951"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_8?keywords=Bags&qid=1697564522&sr=8-8,689,3.9 out of 5 stars,"3,843"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_9?keywords=Bags&qid=1697564522&sr=8-9,699,4.1 out of 5 stars,"6,654"
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_10?keywords=Bags&qid=1697564522&sr=8-10,374,3.9 out of 5 stars,"4,291"
"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDY1MzExNzM4ODIwNjU0OjE2OTc1NjQ1MjM6c3BfbXRmOjIwMDYzNzgyNDMyMDk4OjowOjo&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DBags%26qid%3D1697564522%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"3,599",4.9 out of 5 stars,17
Gear ECO1 24L Medium Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Grey-Black-Yellow),https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDY1MzExNzM4ODIwNjU0OjE2OTc1NjQ1MjM6c3BfbXRmOjMwMDA2ODY4NTg3MTMzMjo6MDo6&url=%2FGear-Polyester-Laptop-Backpack-LBPECONO10412%2Fdp%2FB012NW0J30%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DBags%26qid%3D1697564522%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,759,4.2 out of 5 stars,"1,496"
"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)",https://aax-eu.amazon.in/x/c/RA9XA2EdIJ3mvC076RugQggAAAGLPrr6IwMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICBSrBGk/https://www.amazon.in/JD-Expandable-Waterproof-Sakura-Pink/dp/B0BRNP6M1D/ref=sxin_25_sbv_search_btf?content-id=amzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e%3Aamzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e&cv_ct_cx=Bags&keywords=Bags&pd_rd_i=B0BRNP6M1D&pd_rd_r=ba9c3de9-d850-4ea0-ad0f-a00f175670fe&pd_rd_w=GduoQ&pd_rd_wg=JtTDU&pf_rd_p=10447c6b-3f84-4df3-b999-01a8bbbf010e&pf_rd_r=GS93M4WKD8Y4SNRBYZ4P&qid=1697564522&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351,731,3.9 out of 5 stars,426
